"","Team","Season","GP","TOI","CF","CA","C...","CF.","CF.60","CA.60","GF","GA","G...","GF.","GF.60","GA.60","xGF","xGA","xG...","xGF.","xGF.60","xGA.60","PENT","PEND","P...","Sh.","Sv.","PDO"
"1","ANA","2007-2008",81,571.92,138,783,-645,14.98,14.48,82.14,6,57,-51,9.52,0.63,5.98,6.35,52.86,-46.51,10.72,0.67,5.55,38,37,-1,6.52,88,94.52
"2","ARI","2007-2008",81,491.75,116,704,-588,14.15,14.15,85.9,9,51,-42,15,1.1,6.22,6.53,46.24,-39.71,12.37,0.8,5.64,13,30,17,12.16,86.1,98.27
"3","ATL","2007-2008",80,517.42,118,787,-669,13.04,13.68,91.26,13,61,-48,17.57,1.51,7.07,7.08,46.82,-39.74,13.14,0.82,5.43,21,29,8,16.25,85.81,102.06
"4","BOS","2007-2008",30,162.69,27,258,-231,9.47,9.96,95.15,2,26,-24,7.14,0.74,9.59,1.26,17.75,-16.49,6.63,0.46,6.55,5,10,5,11.11,82.19,93.3
"5","BUF","2007-2008",76,479.03,105,673,-568,13.5,13.15,84.3,7,45,-38,13.46,0.88,5.64,4.99,40.72,-35.73,10.92,0.63,5.1,14,17,3,10.94,87.43,98.37
"6","CAR","2007-2008",79,506.64,139,727,-588,16.05,16.46,86.1,3,61,-58,4.69,0.36,7.22,8.33,52.17,-43.84,13.77,0.99,6.18,26,27,1,3.26,84.75,88.01
"7","CBJ","2007-2008",82,549.24,128,752,-624,14.55,13.98,82.15,5,52,-47,8.77,0.55,5.68,6.75,43.41,-36.66,13.46,0.74,4.74,24,29,5,5.95,88.07,94.03
"8","CGY","2007-2008",82,578.97,119,758,-639,13.57,12.33,78.55,8,62,-54,11.43,0.83,6.43,6.88,47.7,-40.82,12.61,0.71,4.94,22,46,24,10.39,86.04,96.43
"9","CHI","2007-2008",80,580.01,122,791,-669,13.36,12.62,81.83,16,61,-45,20.78,1.66,6.31,6.85,54.2,-47.35,11.22,0.71,5.61,29,33,4,19.05,86.5,105.55
"10","COL","2007-2008",82,470.83,78,693,-615,10.12,9.94,88.31,2,52,-50,3.7,0.25,6.63,4.27,46.92,-42.65,8.34,0.54,5.98,12,20,8,3.77,85.56,89.33
"11","DAL","2007-2008",82,558.61,119,717,-598,14.23,12.78,77.01,14,42,-28,25,1.5,4.51,5.77,47.18,-41.41,10.9,0.62,5.07,16,34,18,17.07,88.92,105.99
"12","DET","2007-2008",81,558.39,149,625,-476,19.25,16.01,67.16,7,46,-39,13.21,0.75,4.94,6.69,46.35,-39.66,12.61,0.72,4.98,20,36,16,7.45,87.43,94.88
"13","EDM","2007-2008",82,564.17,118,824,-706,12.53,12.55,87.63,5,47,-42,9.62,0.53,5,6.31,50.53,-44.22,11.1,0.67,5.37,21,21,0,7.14,89.72,96.86
"14","FLA","2007-2008",80,547.4,135,836,-701,13.9,14.8,91.63,4,48,-44,7.69,0.44,5.26,8.4,52.41,-44.01,13.81,0.92,5.74,19,29,10,3.88,89.43,93.31
"15","L.A","2007-2008",82,462.02,92,784,-692,10.5,11.95,101.81,9,59,-50,13.24,1.17,7.66,5.99,53.92,-47.93,10,0.78,7,23,17,-6,15.79,86.74,102.53
"16","MIN","2007-2008",80,485.28,118,679,-561,14.81,14.59,83.95,3,43,-40,6.52,0.37,5.32,6.92,40.43,-33.51,14.61,0.86,5,20,27,7,3.8,89.41,93.21
"17","MTL","2007-2008",77,472.43,125,810,-685,13.37,15.88,102.87,6,45,-39,11.76,0.76,5.72,5.83,46.98,-41.15,11.04,0.74,5.97,28,30,2,7.79,88.72,96.51
"18","N.J","2007-2008",79,463.45,116,657,-541,15.01,15.02,85.06,4,42,-38,8.7,0.52,5.44,7.34,44.04,-36.7,14.29,0.95,5.7,13,18,5,5.41,89.76,95.16
"19","NSH","2007-2008",81,501.34,119,638,-519,15.72,14.24,76.36,7,38,-31,15.56,0.84,4.55,6.93,39.5,-32.57,14.93,0.83,4.73,35,39,4,9.09,89.36,98.45
"20","NYI","2007-2008",77,548.73,156,865,-709,15.28,17.06,94.58,9,51,-42,15,0.98,5.58,8.3,54.58,-46.28,13.2,0.91,5.97,18,19,1,8.41,88.64,97.05
"21","NYR","2007-2008",80,477.27,84,657,-573,11.34,10.56,82.59,4,41,-37,8.89,0.5,5.15,5.96,39.42,-33.46,13.13,0.75,4.96,21,25,4,7.41,87.35,94.75
"22","OTT","2007-2008",75,543.72,190,777,-587,19.65,20.97,85.74,15,59,-44,20.27,1.66,6.51,10.35,50.56,-40.21,16.99,1.14,5.58,22,26,4,12,86.59,98.59
"23","PHI","2007-2008",80,545.5,154,806,-652,16.04,16.94,88.65,10,56,-46,15.15,1.1,6.16,9.99,47.11,-37.12,17.5,1.1,5.18,22,29,7,10,86.82,96.82
"24","PIT","2007-2008",79,515.74,100,793,-693,11.2,11.63,92.26,5,56,-51,8.2,0.58,6.51,6.54,49.56,-43.02,11.66,0.76,5.77,15,23,8,7.14,86.47,93.62
"25","S.J","2007-2008",81,443.15,106,626,-520,14.48,14.35,84.76,7,31,-24,18.42,0.95,4.2,6.41,40.2,-33.79,13.75,0.87,5.44,20,29,9,9.33,90.28,99.62
"26","STL","2007-2008",81,551.15,97,791,-694,10.92,10.56,86.11,1,44,-43,2.22,0.11,4.79,4.7,47.56,-42.86,8.99,0.51,5.18,28,27,-1,1.72,88.69,90.41
"27","T.B","2007-2008",79,470.59,117,661,-544,15.04,14.92,84.28,7,46,-39,13.21,0.89,5.86,6.02,39.1,-33.08,13.34,0.77,4.99,17,22,5,9.33,86.86,96.19
"28","TOR","2007-2008",78,498.28,110,756,-646,12.7,13.25,91.03,4,56,-52,6.67,0.48,6.74,5.08,53.52,-48.44,8.67,0.61,6.44,22,17,-5,5.19,85.75,90.95
"29","VAN","2007-2008",82,527.92,89,728,-639,10.89,10.12,82.74,5,53,-48,8.62,0.57,6.02,4.43,46.84,-42.41,8.64,0.5,5.32,28,32,4,8.33,86.98,95.31
"30","WSH","2007-2008",81,535.95,89,816,-727,9.83,9.96,91.35,4,56,-52,6.67,0.45,6.27,4.73,50.92,-46.19,8.5,0.53,5.7,22,15,-7,5.71,87.56,93.27
"31","ANA","2008-2009",82,595.72,110,961,-851,10.27,11.08,96.79,6,69,-63,8,0.6,6.95,6.1,66.34,-60.24,8.42,0.61,6.68,32,28,-4,7.69,87.61,95.3
"32","ARI","2008-2009",81,416.07,82,723,-641,10.19,11.82,104.26,3,58,-55,4.92,0.43,8.36,4.79,45.81,-41.02,9.47,0.69,6.61,14,24,10,5.66,84.45,90.11
"33","ATL","2008-2009",82,547.97,137,933,-796,12.8,15,102.16,12,78,-66,13.33,1.31,8.54,8.46,58.12,-49.66,12.71,0.93,6.36,23,35,12,13.19,84.8,97.98
"34","BOS","2008-2009",81,456.87,88,725,-637,10.82,11.56,95.21,7,49,-42,12.5,0.92,6.44,5.6,47.4,-41.8,10.57,0.74,6.22,17,26,9,11.11,87.84,98.95
"35","BUF","2008-2009",82,491.77,86,815,-729,9.54,10.49,99.44,5,50,-45,9.09,0.61,6.1,4.38,48.34,-43.96,8.31,0.53,5.9,17,26,9,10.64,88.96,99.6
"36","CAR","2008-2009",82,451.07,86,783,-697,9.9,11.44,104.15,7,49,-42,12.5,0.93,6.52,4.47,51.26,-46.79,8.02,0.59,6.82,19,25,6,13.46,87.59,101.06
"37","CBJ","2008-2009",82,525.33,118,819,-701,12.59,13.48,93.54,7,55,-48,11.29,0.8,6.28,6.44,47.8,-41.36,11.87,0.74,5.46,17,27,10,9.86,87.03,96.89
"38","CGY","2008-2009",81,526.74,122,848,-726,12.58,13.9,96.59,6,52,-46,10.34,0.68,5.92,7.76,58.24,-50.48,11.76,0.88,6.63,25,29,4,7.89,89.39,97.28
"39","CHI","2008-2009",82,481.29,87,796,-709,9.85,10.85,99.23,8,56,-48,12.5,1,6.98,6.24,51.17,-44.93,10.87,0.78,6.38,20,22,2,12.5,87.58,100.08
"40","COL","2008-2009",82,486.07,82,764,-682,9.69,10.12,94.31,4,54,-50,6.9,0.49,6.67,4.61,44.71,-40.1,9.35,0.57,5.52,14,18,4,6.56,85.86,92.42
"41","DAL","2008-2009",82,505.88,108,762,-654,12.41,12.81,90.38,2,65,-63,2.99,0.24,7.71,5.39,51.9,-46.51,9.41,0.64,6.16,14,23,9,2.86,83.03,85.89
"42","DET","2008-2009",81,482.55,117,667,-550,14.92,14.55,82.93,5,58,-53,7.94,0.62,7.21,6.5,41.97,-35.47,13.41,0.81,5.22,21,15,-6,7.14,84.9,92.04
"43","EDM","2008-2009",82,512.1,115,876,-761,11.6,13.47,102.64,3,63,-60,4.55,0.35,7.38,5.86,60.39,-54.53,8.85,0.69,7.08,27,29,2,4.29,87.57,91.86
"44","FLA","2008-2009",82,474.59,93,856,-763,9.8,11.76,108.22,5,50,-45,9.09,0.63,6.32,4.79,54.44,-49.65,8.09,0.61,6.88,14,12,-2,9.26,89.06,98.32
